T1,T2,T3,T4
103.4483,54.0,965.7,22.8
103.7751,54.0,965.7,22.8
103.7925,54.0,965.7,22.8
101.306,54.0,965.7,22.8
102.1373,54.0,965.7,22.8
101.3768,54.0,965.7,22.8
101.0822,54.0,965.7,22.8
103.9,54.0,965.7,22.8
103.9866,53.0,965.6,23.4
103.431,53.0,965.6,23.4
105.3589,53.0,965.6,23.4
102.7832,53.0,965.6,23.4
101.4301,53.0,965.6,23.4
102.2863,53.0,965.6,23.4
101.6818,53.0,965.6,23.4
101.9593,53.0,965.6,23.4
102.5781,53.0,965.6,23.4
101.2451,53.0,965.6,23.4
101.4447,52.0,965.5,23.3
100.6915,52.0,965.5,23.3
100.7696,52.0,965.5,23.3
98.33601,52.0,965.5,23.3
100.1284,52.0,965.5,23.3
99.9248,52.0,965.5,23.3
99.5765,52.0,965.5,23.3
99.7202,52.0,965.5,23.3
97.7309,52.0,965.5,23.3
99.44611,52.0,965.5,23.3
99.8729,52.0,965.4,23.7
99.748,52.0,965.4,23.7
98.9645,52.0,965.4,23.7
98.4708,52.0,965.4,23.7
99.522,52.0,965.4,23.7
99.8221,52.0,965.4,23.7
98.8008,52.0,965.4,23.7
98.9006,52.0,965.4,23.7
99.0347,52.0,965.4,23.7
99.2154,52.0,965.4,23.7
101.8935,51.0,965.4,24.3
101.7195,51.0,965.4,24.3
101.0363,51.0,965.4,24.3
100.5117,51.0,965.4,24.3
99.9629,51.0,965.4,24.3
99.4752,51.0,965.4,24.3
99.7262,51.0,965.4,24.3
98.7659,51.0,965.4,24.3
98.7912,51.0,965.4,24.3
98.9174,51.0,965.4,24.3
99.8442,50.0,965.3,24.7
101.4362,50.0,965.3,24.7
101.0718,50.0,965.3,24.7
100.7619,50.0,965.3,24.7
101.3608,50.0,965.3,24.7
103.5376,50.0,965.3,24.7
102.0617,50.0,965.3,24.7
100.8081,50.0,965.3,24.7
101.6061,50.0,965.3,24.7
100.0539,50.0,965.3,24.7
99.4109,49.0,965.2,24.7
98.9236,49.0,965.2,24.7
99.8005,49.0,965.2,24.7
101.0842,49.0,965.2,24.7
101.3786,49.0,965.2,24.7
