Date,gamma
647,96.968
648,96.1551
649,97.0312
650,97.0907
651,96.7579
652,97.521
653,97.873
654,97.6496
655,98.59991
656,98.3568
657,97.4391
658,98.4757
659,97.4627
660,97.8223
661,95.7277
662,95.7122
663,97.837
664,97.0698
665,97.1542
666,97.7116
667,96.3239
668,95.5074
669,94.5651
670,94.5467
671,96.9718
672,97.33379
673,96.1395
674,94.0479
675,93.3289
676,93.396
677,94.2653
678,94.8146
679,95.6975
680,96.0042
681,95.33459
682,95.87399
683,98.4471
684,97.15549
685,98.5651
686,101.0038
687,99.0254
688,99.535
689,97.4925
690,97.8867
691,98.1275
692,97.0096
693,98.3654
694,98.561
695,99.4266
696,100.3485
697,97.8844
698,97.0227
699,95.2385
700,93.8642
701,95.8833
702,94.8596
703,94.8301
704,94.7166
705,95.0457
706,93.8298
707,92.7604
708,92.6894
709,93.6171
710,93.9632
711,95.6343
712,97.2339
713,96.9311
714,97.0278
715,98.18761
716,96.7024
717,96.572
718,95.6998
719,97.0807
720,97.2119
721,98.3257
722,97.4819
723,98.7705
724,98.29601
725,97.2896
726,95.8862
727,95.2562
728,95.33549
729,96.7766
730,97.2076
731,97.2278
732,98.2375
733,97.9693
734,97.7778
735,96.9261
736,96.53139
737,94.7783
738,95.6922
739,94.8684
740,94.7059
741,95.5645
742,95.5776
743,95.2025
744,96.8952
745,97.0747
746,97.45
747,96.8785
748,96.2021
749,95.27319
750,94.18159
751,93.3516
752,93.6701
753,94.5951
754,92.9492
755,93.09689
756,93.7931
757,93.9174
758,94.3918
759,93.6748
760,95.4595
761,97.158
762,98.1578
763,97.4451
764,97.7641
765,98.8594
766,97.8916
767,100.3652
768,99.7061
769,99.6315
770,99.4604
771,97.2991
772,98.5457
773,97.2308
774,98.6688
775,99.297
776,101.799
777,102.1299
778,102.031
779,100.9575
780,101.1762
781,99.5967
782,99.6155
783,98.8616
784,100.1531
785,99.6507
786,98.5862
787,99.2664
788,99.2914
789,97.7713
790,98.8356
791,98.094
792,98.5477
793,98.2733
794,100.036
795,99.6132
796,98.69
797,98.3735
798,98.3888
799,98.5542
800,96.4819
801,96.6513
802,96.1636
803,95.8858
804,96.607
805,97.7481
806,98.7131
807,97.8148
808,96.2705
809,97.31561
810,97.0947
811,95.7931
812,96.1925
813,97.1927
814,97.8431
815,96.6567
816,94.2048
817,94.611
818,93.9312
819,95.3398
820,94.7679
821,95.5566
822,96.8554
823,96.3196
824,97.2348
825,98.6559
826,99.2104
827,98.8477
828,97.74191
829,97.7443
830,97.4432
831,97.4357
832,96.9534
833,96.8425
834,96.30099
835,95.7532
836,95.4016
837,96.0954
838,94.6968
839,93.7589
840,97.0191
841,98.304
842,97.6402
843,99.1633
844,98.7991
845,97.17609
846,98.866
847,98.081
848,97.5365
849,98.5311
850,98.1857
851,98.3263
852,100.3513
853,97.5695
854,97.8923
855,98.09959
856,99.9675
857,99.6171
858,101.889
859,101.2002
860,100.9053
861,101.4931
862,100.9414
863,100.5348
864,99.7196
865,98.1083
866,99.1366
867,100.1183
868,99.3396
869,98.5931
870,96.84389
871,97.449
872,97.6351
873,99.0125
874,97.8609
875,97.8183
876,98.9365
877,96.6837
878,95.15041
879,95.4778
880,95.8769
881,96.4854
882,96.9382
883,97.0575
884,96.6797
885,96.8717
886,97.2094
887,97.6842
888,97.44469
889,96.943
890,97.6561
891,97.6533
892,97.716
893,96.2619
894,96.9866
895,96.8657
896,96.5264
897,96.4992
898,95.8063
